datetime,ptf_kesinlesmis,ptf_interim,smf,load_forecast_plan,real_time_consumption,wind_generation,solar_generation,hydro_dam_generation,usd_try,grf_tl
2020-01-01 00:00:00,311.65,311.65,261.75,29000.0,28125.46,770.5,0.0,3761.62,5.959,1490.59
2020-01-01 01:00:00,311.65,311.65,261.75,29000.0,28125.46,770.5,0.0,3761.62,5.959,1490.59
2020-01-01 02:00:00,311.65,311.65,261.75,29000.0,28125.46,770.5,0.0,3761.62,5.959,1490.59
2020-01-01 03:00:00,311.65,311.65,261.75,29000.0,28125.46,770.5,0.0,3761.62,5.959,1490.59
2020-01-01 04:00:00,313.24,313.24,295.24,26000.0,26548.41,776.18,0.0,3079.97,5.959,1490.59
2020-01-01 05:00:00,311.08,311.08,311.08,24500.0,25287.99,787.75,0.0,2160.79,5.959,1490.59
2020-01-01 06:00:00,310.7,310.7,310.7,23400.0,24311.53,815.19,0.0,2292.47,5.959,1490.59
2020-01-01 07:00:00,200.01,200.01,200.01,22900.0,23730.48,939.26,0.0,2470.96,5.959,1490.59
2020-01-01 08:00:00,179.99,179.99,200.0,22700.0,23535.52,1185.05,0.0,2394.24,5.959,1490.59
2020-01-01 09:00:00,254.0,254.0,275.9,23100.0,23774.24,1337.51,0.0,2532.43,5.959,1490.59
2020-01-01 10:00:00,300.01,300.01,320.0,23600.0,24112.0,1477.6,0.06,2445.22,5.959,1490.59
2020-01-01 11:00:00,209.99,209.99,191.99,23900.0,24196.77,1788.91,1.98,2646.02,5.959,1490.59
2020-01-01 12:00:00,200.01,200.01,150.01,25500.0,25402.1,2067.66,9.64,3720.05,5.959,1490.59
2020-01-01 13:00:00,310.14,310.14,260.14,27200.0,26788.47,2390.76,25.49,4076.6,5.959,1490.59
2020-01-01 14:00:00,311.12,311.12,241.12,29000.0,28060.72,2684.97,38.24,4372.42,5.959,1490.59
2020-01-01 15:00:00,310.81,310.81,260.81,30800.0,28700.55,2905.51,46.13,4610.87,5.959,1490.59
2020-01-01 16:00:00,311.28,311.28,252.28,31500.0,29224.32,3078.95,51.15,4766.8,5.959,1490.59
2020-01-01 17:00:00,288.57,288.57,231.18,31700.0,29613.62,3480.38,31.63,4492.88,5.959,1490.59
2020-01-01 18:00:00,290.01,290.01,204.0,32100.0,30313.96,4062.7,16.38,4519.13,5.959,1490.59
2020-01-01 19:00:00,312.41,312.41,253.41,32600.0,31318.36,4601.67,5.16,5249.61,5.959,1490.59
2020-01-01 20:00:00,315.56,315.56,308.56,34100.0,33214.7,4864.98,0.61,6749.29,5.959,1490.59
2020-01-01 21:00:00,316.22,316.22,367.0,34000.0,34667.61,4947.2,0.0,8029.77,5.959,1490.59
2020-01-01 22:00:00,314.08,314.08,380.0,33300.0,34356.8,5027.89,0.0,7485.89,5.959,1490.59
2020-01-01 23:00:00,311.12,311.12,387.0,32700.0,33546.76,5046.54,0.0,6531.93,5.959,1490.59
2020-01-02 00:00:00,310.2,310.2,382.31,31800.0,33004.97,5084.34,0.0,6108.11,5.959,1502.35
2020-01-02 01:00:00,274.57,274.57,324.57,30900.0,32080.63,5007.24,0.0,5929.94,5.959,1502.35
2020-01-02 02:00:00,250.64,250.64,290.0,30000.0,30793.95,5009.98,0.0,5162.66,5.959,1502.35
2020-01-02 03:00:00,310.53,310.53,310.53,29800.0,29132.07,5195.62,0.0,4321.0,5.959,1502.35
2020-01-02 04:00:00,311.38,311.38,311.38,28600.0,27694.66,5116.72,0.0,3451.99,5.959,1502.35
2020-01-02 05:00:00,290.01,290.01,290.01,27100.0,26662.38,5116.86,0.0,2894.42,5.959,1502.35
2020-01-02 06:00:00,250.0,250.0,250.0,26500.0,26111.08,5201.89,0.0,2901.69,5.959,1502.35
2020-01-02 07:00:00,180.0,180.0,180.0,26300.0,25939.56,5200.35,0.0,2743.75,5.959,1502.35
2020-01-02 08:00:00,180.0,180.0,180.0,26700.0,26425.33,5251.04,0.0,2881.59,5.959,1502.35
2020-01-02 09:00:00,180.0,180.0,205.0,28200.0,27675.23,5242.35,0.0,3244.03,5.959,1502.35
2020-01-02 10:00:00,310.71,310.71,310.71,31200.0,30819.25,5320.27,0.36,4063.32,5.959,1502.35
2020-01-02 11:00:00,319.37,319.37,345.0,35900.0,36065.98,5359.26,9.78,7538.42,5.959,1502.35
2020-01-02 12:00:00,323.95,323.95,373.95,39000.0,39141.53,5367.43,22.3,9697.19,5.959,1502.35
2020-01-02 13:00:00,326.74,326.74,352.0,40200.0,40060.11,5471.63,29.85,10228.21,5.959,1502.35
2020-01-02 14:00:00,329.69,329.69,329.69,40900.0,40493.42,5368.33,52.03,10695.55,5.959,1502.35
2020-01-02 15:00:00,324.81,324.81,324.81,39900.0,39176.39,5389.73,67.58,9228.89,5.959,1502.35
2020-01-02 16:00:00,325.45,325.45,325.45,40200.0,39682.56,5402.93,58.44,9267.18,5.959,1502.35
2020-01-02 17:00:00,327.13,327.13,327.13,40600.0,40259.63,5482.42,33.05,9938.41,5.959,1502.35
2020-01-02 18:00:00,326.5,326.5,326.5,40500.0,40331.29,5499.54,15.35,9766.15,5.959,1502.35
2020-01-02 19:00:00,328.75,328.75,328.75,40600.0,40904.43,5558.47,5.06,10360.43,5.959,1502.35
2020-01-02 20:00:00,331.52,331.52,331.52,41100.0,41728.62,5513.58,0.08,10956.21,5.959,1502.35
2020-01-02 21:00:00,329.43,329.43,329.43,40200.0,41220.41,5605.38,0.0,10734.22,5.959,1502.35
2020-01-02 22:00:00,325.65,325.65,325.65,38800.0,39948.23,5541.07,0.0,9618.11,5.959,1502.35
2020-01-02 23:00:00,322.08,322.08,322.08,37700.0,38933.35,5524.01,0.0,8414.74,5.959,1502.35
2020-01-03 00:00:00,319.49,319.49,319.49,36700.0,37670.91,5310.4,0.0,7231.47,5.9735,1490.63
2020-01-03 01:00:00,316.01,316.01,316.01,35100.0,36485.42,5184.23,0.0,6196.17,5.9735,1490.63
2020-01-03 02:00:00,312.58,312.58,312.58,33900.0,34740.57,5074.79,0.0,4713.52,5.9735,1490.63
2020-01-03 03:00:00,320.01,320.01,320.01,32800.0,32285.62,5068.54,0.0,3847.94,5.9735,1490.63
2020-01-03 04:00:00,320.74,320.74,329.74,31000.0,30433.66,4913.58,0.0,2833.12,5.9735,1490.63
2020-01-03 05:00:00,277.86,277.86,301.0,29700.0,29163.8,4858.41,0.0,3099.83,5.9735,1490.63
2020-01-03 06:00:00,200.0,200.0,275.0,28900.0,28554.01,4814.92,0.0,3115.13,5.9735,1490.63
2020-01-03 07:00:00,184.99,184.99,249.9,28800.0,28446.72,4843.12,0.0,2955.68,5.9735,1490.63
2020-01-03 08:00:00,212.07,212.07,277.0,29000.0,28853.57,4848.12,0.0,3020.04,5.9735,1490.63
2020-01-03 09:00:00,279.99,279.99,329.99,30400.0,29951.9,4759.44,0.0,2987.14,5.9735,1490.63
2020-01-03 10:00:00,322.0,322.0,367.0,33000.0,32879.26,4689.41,0.13,3514.05,5.9735,1490.63
2020-01-03 11:00:00,329.88,329.88,364.88,37200.0,37342.36,4707.81,5.74,6698.63,5.9735,1490.63
2020-01-03 12:00:00,334.88,334.88,364.8,39600.0,40071.64,4663.44,29.03,8988.29,5.9735,1490.63
2020-01-03 13:00:00,334.99,334.99,379.99,39700.0,40422.42,4372.78,39.61,9442.71,5.9735,1490.63
2020-01-03 14:00:00,335.47,335.47,386.0,40000.0,40864.42,4146.32,44.16,9833.33,5.9735,1490.63
2020-01-03 15:00:00,329.99,329.99,380.0,37900.0,39173.84,4049.17,37.14,8255.76,5.9735,1490.63
2020-01-03 16:00:00,327.87,327.87,337.87,36900.0,38051.53,3991.4,32.46,7254.65,5.9735,1490.63
2020-01-03 17:00:00,333.77,333.77,333.77,37900.0,39477.93,4024.49,34.5,8593.45,5.9735,1490.63
2020-01-03 18:00:00,334.99,334.99,334.99,38600.0,39601.16,4146.98,28.59,9020.04,5.9735,1490.63
2020-01-03 19:00:00,338.25,338.25,338.25,39200.0,40277.26,4100.17,10.3,9912.25,5.9735,1490.63
2020-01-03 20:00:00,343.04,343.04,284.04,40400.0,41411.18,3951.28,2.01,10941.06,5.9735,1490.63
2020-01-03 21:00:00,341.03,341.03,351.03,40300.0,41059.2,3775.77,0.0,10466.68,5.9735,1490.63
2020-01-03 22:00:00,336.55,336.55,336.55,39100.0,39702.42,3650.69,0.0,9383.5,5.9735,1490.63
2020-01-03 23:00:00,334.68,334.68,334.68,38100.0,38714.3,3499.32,0.0,8564.44,5.9735,1490.63
2020-01-04 00:00:00,334.99,334.99,335.0,37200.0,37586.49,3054.45,0.0,8605.06,5.9735,1495.39
2020-01-04 01:00:00,332.82,332.82,332.82,36300.0,36524.01,2649.44,0.0,7826.51,5.9735,1495.39
2020-01-04 02:00:00,329.01,329.01,329.01,34800.0,35124.79,2363.71,0.0,6947.77,5.9735,1495.39
2020-01-04 03:00:00,323.02,323.02,350.0,32600.0,32637.33,2205.27,0.0,5421.47,5.9735,1495.39
2020-01-04 04:00:00,323.18,323.18,350.0,30800.0,30927.22,2029.57,0.0,3560.95,5.9735,1495.39
2020-01-04 05:00:00,320.48,320.48,350.4,29500.0,29729.1,2019.77,0.0,2529.89,5.9735,1495.39
2020-01-04 06:00:00,318.2,318.2,328.2,28800.0,28876.84,1860.54,0.0,2109.07,5.9735,1495.39
2020-01-04 07:00:00,260.59,260.59,260.59,28400.0,28558.57,1701.12,0.0,2362.08,5.9735,1495.39
2020-01-04 08:00:00,268.48,268.48,268.48,28500.0,28715.93,1598.87,0.0,2296.75,5.9735,1495.39
2020-01-04 09:00:00,320.09,320.09,320.09,29000.0,29215.12,1555.44,0.0,2406.28,5.9735,1495.39
2020-01-04 10:00:00,324.08,324.08,324.08,30400.0,30477.12,1500.4,0.43,3172.31,5.9735,1495.39
2020-01-04 11:00:00,328.59,328.59,328.59,33400.0,33547.45,1612.76,5.94,5391.31,5.9735,1495.39
2020-01-04 12:00:00,333.34,333.34,333.34,35900.0,36521.73,1643.04,18.88,7719.49,5.9735,1495.39
2020-01-04 13:00:00,338.34,338.34,350.34,37400.0,38244.73,1480.64,34.68,9037.34,5.9735,1495.39
2020-01-04 14:00:00,340.01,340.01,375.01,38100.0,38950.84,1187.29,39.97,9805.23,5.9735,1495.39
2020-01-04 15:00:00,336.46,336.46,381.46,37300.0,37845.43,876.23,45.43,9140.93,5.9735,1495.39
2020-01-04 16:00:00,336.65,336.65,371.65,37400.0,37642.81,722.12,44.0,9091.78,5.9735,1495.39
2020-01-04 17:00:00,337.27,337.27,359.99,37500.0,37118.61,733.9,40.11,9021.26,5.9735,1495.39
2020-01-04 18:00:00,336.25,336.25,336.25,37100.0,36499.18,708.9,30.62,8765.28,5.9735,1495.39
2020-01-04 19:00:00,338.77,338.77,290.0,37100.0,36616.45,775.89,12.61,9074.98,5.9735,1495.39
2020-01-04 20:00:00,343.98,343.98,260.01,37700.0,37704.95,934.19,3.31,10054.64,5.9735,1495.39
2020-01-04 21:00:00,345.0,345.0,286.0,38700.0,38836.27,1021.73,0.07,10620.49,5.9735,1495.39
2020-01-04 22:00:00,342.63,342.63,342.63,37700.0,38097.54,1061.26,0.0,10141.19,5.9735,1495.39
2020-01-04 23:00:00,339.38,339.38,260.01,36800.0,37141.79,1034.09,0.0,9128.29,5.9735,1495.39
2020-01-05 00:00:00,336.05,336.05,336.05,35900.0,36302.72,966.05,0.0,8502.23,5.9735,1489.02
2020-01-05 01:00:00,331.96,331.96,331.96,35000.0,35201.04,932.37,0.0,7494.0,5.9735,1489.02
2020-01-05 02:00:00,332.28,332.28,332.28,33600.0,34024.67,927.27,0.0,7445.57,5.9735,1489.02
2020-01-05 03:00:00,323.52,323.52,323.52,31500.0,31710.85,931.61,0.0,5782.74,5.9735,1489.02
2020-01-05 04:00:00,323.38,323.38,323.38,29600.0,29857.75,882.33,0.0,4000.49,5.9735,1489.02
2020-01-05 05:00:00,320.57,320.57,320.57,28200.0,28431.11,870.83,0.0,3089.6,5.9735,1489.02
2020-01-05 06:00:00,280.01,280.01,280.01,27300.0,27413.73,888.93,0.0,2448.35,5.9735,1489.02
2020-01-05 07:00:00,221.35,221.35,221.35,26900.0,26997.13,931.8,0.0,2712.73,5.9735,1489.02
2020-01-05 08:00:00,249.99,249.99,249.99,26900.0,27006.71,937.33,0.0,2685.25,5.9735,1489.02
2020-01-05 09:00:00,279.56,279.56,279.56,27200.0,27192.72,889.59,0.0,2658.22,5.9735,1489.02
2020-01-05 10:00:00,304.94,304.94,344.94,27600.0,27507.26,869.92,0.02,2959.5,5.9735,1489.02
2020-01-05 11:00:00,250.0,250.0,280.0,27900.0,27647.11,868.44,7.08,3230.97,5.9735,1489.02
2020-01-05 12:00:00,250.0,250.0,250.0,29700.0,28929.46,834.75,33.4,4232.02,5.9735,1489.02
2020-01-05 13:00:00,319.99,319.99,359.99,31500.0,30183.02,775.8,62.32,4862.12,5.9735,1489.02
2020-01-05 14:00:00,324.03,324.03,353.9,33000.0,31112.45,777.16,85.8,5992.64,5.9735,1489.02
2020-01-05 15:00:00,323.6,323.6,363.6,33400.0,31252.33,821.53,104.2,6186.01,5.9735,1489.02
2020-01-05 16:00:00,324.39,324.39,364.39,33600.0,31479.63,976.67,116.79,6422.66,5.9735,1489.02
2020-01-05 17:00:00,324.17,324.17,364.17,33700.0,31110.45,1191.62,86.97,6354.71,5.9735,1489.02
2020-01-05 18:00:00,323.09,323.09,373.09,33700.0,32112.55,1706.72,46.4,6242.17,5.9735,1489.02
2020-01-05 19:00:00,322.7,322.7,383.0,34200.0,33063.75,2639.77,20.71,6215.22,5.9735,1489.02
2020-01-05 20:00:00,327.16,327.16,362.16,35700.0,34918.27,3572.9,1.6,7178.13,5.9735,1489.02
2020-01-05 21:00:00,329.71,329.71,361.93,36700.0,36709.31,4199.59,0.01,7901.7,5.9735,1489.02
2020-01-05 22:00:00,326.26,326.26,361.26,36400.0,36357.77,4562.14,0.0,7148.54,5.9735,1489.02
2020-01-05 23:00:00,322.73,322.73,371.73,35700.0,35791.91,4958.29,0.0,6283.92,5.9735,1489.02
2020-01-06 00:00:00,320.0,320.0,369.0,35000.0,34889.56,5113.29,0.0,5646.16,5.9764,1489.05
2020-01-06 01:00:00,298.78,298.78,320.0,33900.0,33883.99,5291.36,0.0,5213.53,5.9764,1489.05
2020-01-06 02:00:00,180.0,180.0,230.0,32700.0,32758.66,5359.12,0.0,5018.55,5.9764,1489.05
2020-01-06 03:00:00,298.79,298.79,313.7,30500.0,30642.14,5478.99,0.0,4380.67,5.9764,1489.05
2020-01-06 04:00:00,300.0,300.0,340.0,28600.0,28900.19,5609.56,0.0,2705.26,5.9764,1489.05
2020-01-06 05:00:00,200.0,200.0,195.0,27100.0,27770.55,5699.47,0.0,2345.05,5.9764,1489.05
2020-01-06 06:00:00,174.13,174.13,174.13,26500.0,27283.29,5608.75,0.0,2394.77,5.9764,1489.05
2020-01-06 07:00:00,174.13,174.13,172.18,26300.0,27017.75,5449.48,0.0,2550.55,5.9764,1489.05
2020-01-06 08:00:00,179.99,179.99,178.06,26700.0,27485.75,5434.22,0.0,2541.58,5.9764,1489.05
2020-01-06 09:00:00,180.0,180.0,200.0,28200.0,29194.27,5516.56,0.0,2662.33,5.9764,1489.05
2020-01-06 10:00:00,298.79,298.79,378.79,31200.0,32308.98,5284.22,0.32,3470.18,5.9764,1489.05
2020-01-06 11:00:00,326.7,326.7,401.0,35900.0,37718.28,5180.54,9.7,7419.77,5.9764,1489.05
2020-01-06 12:00:00,334.05,334.05,400.85,39000.0,41148.46,5310.52,28.97,9807.84,5.9764,1489.05
2020-01-06 13:00:00,333.25,333.25,401.93,40200.0,42287.61,5434.63,42.84,9847.26,5.9764,1489.05
2020-01-06 14:00:00,337.37,337.37,403.5,40900.0,43174.19,5389.6,59.21,10862.45,5.9764,1489.05
2020-01-06 15:00:00,332.44,332.44,403.53,39900.0,42406.72,5376.88,52.69,10108.42,5.9764,1489.05
2020-01-06 16:00:00,334.02,334.02,403.54,40200.0,42908.44,5427.45,49.1,10345.66,5.9764,1489.05
2020-01-06 17:00:00,335.87,335.87,404.0,40600.0,43461.91,5478.71,46.04,10876.99,5.9764,1489.05
2020-01-06 18:00:00,334.88,334.88,404.0,40500.0,43144.92,5366.27,28.47,10873.08,5.9764,1489.05
2020-01-06 19:00:00,335.53,335.53,403.53,40600.0,43209.05,5373.17,10.41,10938.66,5.9764,1489.05
2020-01-06 20:00:00,338.45,338.45,403.5,41100.0,43523.0,5161.35,1.79,11266.49,5.9764,1489.05
2020-01-06 21:00:00,335.29,335.29,403.5,40200.0,42321.89,5007.19,0.01,10690.63,5.9764,1489.05
2020-01-06 22:00:00,330.43,330.43,402.33,38800.0,40802.57,4965.77,0.0,9517.73,5.9764,1489.05
2020-01-06 23:00:00,327.23,327.23,401.93,37700.0,39682.82,4949.5,0.0,7850.15,5.9764,1489.05
2020-01-07 00:00:00,323.39,323.39,401.95,36700.0,38590.98,5026.86,0.0,7357.6,5.9757,1486.71
2020-01-07 01:00:00,321.84,321.84,397.0,35100.0,37313.0,5072.38,0.0,6258.22,5.9757,1486.71
2020-01-07 02:00:00,285.88,285.88,339.99,33900.0,35507.62,4995.22,0.0,4840.55,5.9757,1486.71
2020-01-07 03:00:00,289.98,289.98,309.0,32300.0,32668.2,5122.65,0.0,4426.72,5.9757,1486.71
2020-01-07 04:00:00,308.71,308.71,349.0,30400.0,31076.87,5019.9,0.0,3144.82,5.9757,1486.71
2020-01-07 05:00:00,280.0,280.0,323.0,29200.0,29860.01,4971.92,0.0,3074.1,5.9757,1486.71
2020-01-07 06:00:00,210.0,210.0,270.0,28500.0,29178.92,4955.36,0.0,3198.62,5.9757,1486.71
2020-01-07 07:00:00,178.0,178.0,248.0,28400.0,29002.78,5016.54,0.0,3347.41,5.9757,1486.71
2020-01-07 08:00:00,200.01,200.01,275.01,28800.0,29394.83,5019.71,0.0,3345.7,5.9757,1486.71
2020-01-07 09:00:00,250.0,250.0,300.0,29900.0,30588.03,4946.51,0.0,3193.13,5.9757,1486.71
2020-01-07 10:00:00,320.4,320.4,360.0,32900.0,33370.94,5005.38,0.3,3310.4,5.9757,1486.71
2020-01-07 11:00:00,326.95,326.95,366.95,37300.0,38113.15,5020.81,11.96,6197.32,5.9757,1486.71
2020-01-07 12:00:00,330.0,330.0,389.0,40100.0,40759.12,5028.53,40.71,8599.49,5.9757,1486.71
2020-01-07 13:00:00,333.62,333.62,374.0,40400.0,41743.61,5147.72,42.6,9264.78,5.9757,1486.71
2020-01-07 14:00:00,338.16,338.16,384.0,40800.0,42479.54,5150.16,53.84,9411.62,5.9757,1486.71
2020-01-07 15:00:00,332.79,332.79,372.79,39600.0,41282.06,5069.76,61.61,8934.02,5.9757,1486.71
2020-01-07 16:00:00,334.19,334.19,374.19,38400.0,41702.32,5033.51,61.13,8991.06,5.9757,1486.71
2020-01-07 17:00:00,335.34,335.34,370.34,39500.0,42328.05,5090.53,50.86,9332.63,5.9757,1486.71
2020-01-07 18:00:00,334.42,334.42,375.0,39600.0,42108.66,5036.41,32.36,9021.2,5.9757,1486.71
2020-01-07 19:00:00,333.24,333.24,392.24,40300.0,42468.78,5006.95,12.2,9330.59,5.9757,1486.71
2020-01-07 20:00:00,335.06,335.06,385.06,41400.0,43041.1,5308.25,0.5,9971.48,5.9757,1486.71
2020-01-07 21:00:00,331.87,331.87,372.0,41000.0,42077.94,5277.95,0.0,8987.39,5.9757,1486.71
2020-01-07 22:00:00,328.41,328.41,368.41,39700.0,40716.92,5280.91,0.0,7621.94,5.9757,1486.71
2020-01-07 23:00:00,329.41,329.41,339.41,38700.0,39558.75,5364.73,0.0,7276.59,5.9757,1486.71
2020-01-08 00:00:00,326.13,326.13,340.0,37600.0,38610.42,5225.44,0.0,6419.29,5.9521,1480.11
2020-01-08 01:00:00,321.79,321.79,346.79,36500.0,37513.61,5182.59,0.0,5576.5,5.9521,1480.11
2020-01-08 02:00:00,292.02,292.02,292.02,35100.0,35597.18,5061.56,0.0,4363.43,5.9521,1480.11
2020-01-08 03:00:00,320.27,320.27,331.27,32500.0,33246.39,5007.02,0.0,4030.91,5.9521,1480.11
2020-01-08 04:00:00,321.06,321.06,356.0,30600.0,31376.86,4852.27,0.0,3109.63,5.9521,1480.11
2020-01-08 05:00:00,277.87,277.87,290.8,29400.0,30020.92,4831.06,0.0,2388.23,5.9521,1480.11
2020-01-08 06:00:00,277.86,277.86,222.18,28900.0,29259.18,4794.94,0.0,2199.23,5.9521,1480.11
2020-01-08 07:00:00,248.4,248.4,220.0,28600.0,29083.6,4842.6,0.0,2188.34,5.9521,1480.11
2020-01-08 08:00:00,268.48,268.48,220.0,29100.0,29458.23,4985.89,0.0,2249.03,5.9521,1480.11
2020-01-08 09:00:00,266.93,266.93,220.0,30900.0,30679.93,4998.66,0.01,2357.49,5.9521,1480.11
2020-01-08 10:00:00,323.42,323.42,323.42,33200.0,33723.7,4933.35,0.72,2900.46,5.9521,1480.11
2020-01-08 11:00:00,332.39,332.39,332.39,38800.0,38601.23,4951.54,9.37,6556.08,5.9521,1480.11
2020-01-08 12:00:00,340.06,340.06,350.0,41500.0,41345.51,5027.54,18.94,8878.59,5.9521,1480.11
2020-01-08 13:00:00,341.67,341.67,350.0,42200.0,42175.76,5013.43,26.39,9229.33,5.9521,1480.11
2020-01-08 14:00:00,343.93,343.93,299.0,43100.0,42676.33,5019.19,29.23,9753.87,5.9521,1480.11
2020-01-08 15:00:00,337.5,337.5,337.5,42400.0,41257.59,5044.21,30.59,8714.31,5.9521,1480.11
2020-01-08 16:00:00,340.0,340.0,262.0,42800.0,41632.46,4951.34,24.18,8979.64,5.9521,1480.11
2020-01-08 17:00:00,341.78,341.78,341.78,43400.0,42162.49,5031.08,20.61,9256.34,5.9521,1480.11
2020-01-08 18:00:00,340.72,340.72,260.7,43100.0,41814.16,5027.12,12.05,9205.42,5.9521,1480.11
2020-01-08 19:00:00,341.7,341.7,261.7,43200.0,42146.61,4982.01,5.51,9567.98,5.9521,1480.11
2020-01-08 20:00:00,342.6,342.6,342.6,43400.0,42781.85,5101.7,1.51,9925.83,5.9521,1480.11
2020-01-08 21:00:00,338.85,338.85,260.01,42200.0,42096.04,5262.03,0.02,9161.08,5.9521,1480.11
2020-01-08 22:00:00,333.02,333.02,260.01,40700.0,40867.75,5265.04,0.0,7943.92,5.9521,1480.11
2020-01-08 23:00:00,331.64,331.64,251.6,39600.0,39788.0,5169.3,0.0,7518.49,5.9521,1480.11
2020-01-09 00:00:00,329.32,329.32,270.32,38500.0,38658.11,5095.38,0.0,6343.72,5.8804,1482.84
2020-01-09 01:00:00,324.79,324.79,252.0,37200.0,37685.87,4992.18,0.0,5269.52,5.8804,1482.84
2020-01-09 02:00:00,320.0,320.0,320.0,35400.0,35826.48,4976.68,0.0,4218.34,5.8804,1482.84
2020-01-09 03:00:00,300.0,300.0,250.0,32600.0,33588.76,4840.76,0.0,4010.35,5.8804,1482.84
2020-01-09 04:00:00,314.26,314.26,314.26,31100.0,31869.51,4783.01,0.0,2774.85,5.8804,1482.84
2020-01-09 05:00:00,280.0,280.0,280.0,29800.0,30531.6,4679.94,0.0,2294.45,5.8804,1482.84
2020-01-09 06:00:00,248.0,248.0,248.0,29200.0,29846.28,4630.13,0.0,2214.02,5.8804,1482.84
2020-01-09 07:00:00,225.42,225.42,225.42,29000.0,29535.14,4592.85,0.0,2441.92,5.8804,1482.84
2020-01-09 08:00:00,248.0,248.0,248.0,29400.0,29842.9,4574.86,0.0,2474.64,5.8804,1482.84
2020-01-09 09:00:00,290.0,290.0,300.0,30600.0,31120.93,4531.79,0.0,2740.96,5.8804,1482.84
2020-01-09 10:00:00,324.58,324.58,344.58,33300.0,34047.59,4439.55,0.21,3903.98,5.8804,1482.84
2020-01-09 11:00:00,332.6,332.6,373.0,38100.0,38855.99,4446.59,4.03,6783.29,5.8804,1482.84
2020-01-09 12:00:00,339.46,339.46,380.0,40700.0,41337.2,4334.03,21.38,8824.78,5.8804,1482.84
2020-01-09 13:00:00,341.41,341.41,351.41,41700.0,41295.17,4162.67,48.78,9014.36,5.8804,1482.84
2020-01-09 14:00:00,341.55,341.55,351.55,42400.0,41063.31,4003.32,55.19,9234.55,5.8804,1482.84
2020-01-09 15:00:00,335.53,335.53,335.53,41200.0,38862.87,3834.4,51.65,8148.55,5.8804,1482.84
2020-01-09 16:00:00,338.35,338.35,288.35,41600.0,39659.43,3808.77,40.39,8376.2,5.8804,1482.84
2020-01-09 17:00:00,341.32,341.32,326.32,42300.0,40453.71,3811.81,31.24,9062.01,5.8804,1482.84
2020-01-09 18:00:00,342.39,342.39,332.73,42100.0,40652.62,3771.07,20.62,9270.76,5.8804,1482.84
2020-01-09 19:00:00,340.24,340.24,260.01,42400.0,41224.54,3725.43,8.57,9622.68,5.8804,1482.84
2020-01-09 20:00:00,343.94,343.94,260.01,43000.0,42247.32,3672.58,1.41,10487.12,5.8804,1482.84
2020-01-09 21:00:00,341.72,341.72,282.72,42000.0,42169.94,3550.24,0.02,10198.52,5.8804,1482.84
2020-01-09 22:00:00,336.53,336.53,277.53,40700.0,41176.87,3498.21,0.0,9133.47,5.8804,1482.84
2020-01-09 23:00:00,333.52,333.52,288.6,39500.0,39848.89,3125.23,0.0,8331.36,5.8804,1482.84
2020-01-10 00:00:00,330.91,330.91,330.91,38500.0,38931.27,2820.48,0.0,7712.31,5.8785,1467.62
2020-01-10 01:00:00,327.09,327.09,340.0,37400.0,37641.11,2518.42,0.0,6677.8,5.8785,1467.62
2020-01-10 02:00:00,326.29,326.29,350.0,35500.0,36305.75,2278.55,0.0,6126.11,5.8785,1467.62
2020-01-10 03:00:00,321.89,321.89,346.89,33200.0,33529.48,2142.65,0.0,4970.3,5.8785,1467.62
2020-01-10 04:00:00,323.09,323.09,348.09,31300.0,31768.5,2067.57,0.0,3226.32,5.8785,1467.62
2020-01-10 05:00:00,320.81,320.81,320.81,30000.0,30191.8,2181.69,0.0,1980.19,5.8785,1467.62
2020-01-10 06:00:00,260.01,260.01,275.01,29200.0,29820.98,2282.25,0.0,1727.73,5.8785,1467.62
2020-01-10 07:00:00,266.94,266.94,281.94,29100.0,29630.03,2274.25,0.0,1682.49,5.8785,1467.62
2020-01-10 08:00:00,280.0,280.0,310.0,29400.0,29719.9,2174.77,0.0,1840.66,5.8785,1467.62
2020-01-10 09:00:00,321.82,321.82,252.0,30600.0,31103.91,2173.31,0.0,2983.53,5.8785,1467.62
2020-01-10 10:00:00,329.14,329.14,252.0,33700.0,33879.13,1916.89,0.29,5184.69,5.8785,1467.62
2020-01-10 11:00:00,338.96,338.96,290.0,38600.0,38668.65,1779.83,5.96,8232.4,5.8785,1467.62
2020-01-10 12:00:00,344.97,344.97,344.97,41300.0,40785.68,1652.58,26.47,9830.73,5.8785,1467.62
2020-01-10 13:00:00,345.0,345.0,345.0,42100.0,40738.93,1566.68,53.72,9900.53,5.8785,1467.62
2020-01-10 14:00:00,344.27,344.27,299.27,42600.0,40831.28,1375.29,70.44,9990.6,5.8785,1467.62
2020-01-10 15:00:00,335.3,335.3,325.3,41000.0,38337.07,1119.8,67.11,7982.52,5.8785,1467.62
2020-01-10 16:00:00,333.49,333.49,252.0,41400.0,36694.34,960.37,39.2,7484.51,5.8785,1467.62
2020-01-10 17:00:00,342.49,342.49,252.0,42100.0,38155.19,872.92,53.03,8869.86,5.8785,1467.62
2020-01-10 18:00:00,344.6,344.6,252.0,41800.0,38628.97,861.02,40.18,9435.8,5.8785,1467.62
2020-01-10 19:00:00,348.0,348.0,247.0,42100.0,39601.62,920.68,18.41,10683.34,5.8785,1467.62
2020-01-10 20:00:00,348.01,348.01,258.13,42700.0,41252.26,983.59,2.44,11526.96,5.8785,1467.62
